adult;backdrop_path;belongs_to_collection;budget;genres;homepage;id;imdb_id;original_language;original_title;overview;popularity;poster_path;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;video;vote_average;vote_count
False;/hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg;;0;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}];;2;tt0094675;fi;Ariel;Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...;9,26;/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg;[{'id': 2303, 'logo_path': None, 'name': 'Villealfa Filmproductions', 'origin_country': 'FI', 'movie_id': 2}];[{'iso_3166_1': 'FI', 'name': 'Finland', 'movie_id': 2}];1988-10-21;0;73;[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi', 'movie_id': 2}];Released;;Ariel;False;7,055;247
False;/l94l89eMmFKh7na2a1u5q67VgNx.jpg;;0;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];;3;tt0092149;fi;Varjoja paratiisissa;An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.;7,932;/nj01hspawPof0mJmlgfjuLyJuRN.jpg;[{'id': 2303, 'logo_path': None, 'name': 'Villealfa Filmproductions', 'origin_country': 'FI', 'movie_id': 3}];[{'iso_3166_1': 'FI', 'name': 'Finland', 'movie_id': 3}];1986-10-17;0;76;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 3}];Released;;Shadows in Paradise;False;7,183;268
False;/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg;;4000000;[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}];https://www.miramax.com/movie/four-rooms/;5;tt0113101;en;Four Rooms;It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.;20,977;/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg;[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US', 'movie_id': 5}, {'id': 59, 'logo_path': '/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png', 'name': 'A Band Apart', 'origin_country': 'US', 'movie_id': 5}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 5}];1995-12-09;4257354;98;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 5}];Released;Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.;Four Rooms;False;5,756;2351
False;/bGMqHn0H2UY6SPZ5Vch4YJM2jDO.jpg;;21000000;[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}];;6;tt0107286;en;Judgment Night;While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.;9,192;/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg;[{'id': 1644, 'logo_path': None, 'name': 'Largo Entertainment', 'origin_country': 'US', 'movie_id': 6}, {'id': 182, 'logo_path': None, 'name': 'JVC', 'origin_country': 'JP', 'movie_id': 6}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 6}];1993-10-15;12136938;109;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 6}];Released;Don't move. Don't whisper. Don't even breathe.;Judgment Night;False;6,558;283
False;;;42000;[{'id': 99, 'name': 'Documentary'}];http://lifeinloops.com;8;tt0825671;en;Life in Loops (A Megacities RMX);"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006";2,028;/x7Sz339F2oC8mBf0DHCQpKizXaL.jpg;[{'id': 19123, 'logo_path': None, 'name': 'inLoops', 'origin_country': '', 'movie_id': 8}];[{'iso_3166_1': 'AT', 'name': 'Austria', 'movie_id': 8}];2006-01-01;0;80;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 8}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी', 'movie_id': 8}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語', 'movie_id': 8}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский', 'movie_id': 8}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español', 'movie_id': 8}];Released;A Megacities remix.;Life in Loops (A Megacities RMX);False;7,708;24
False;;;0;[{'id': 18, 'name': 'Drama'}];;9;tt0425473;de;Sonntag im August;;1,877;;[];[{'iso_3166_1': 'DE', 'name': 'Germany', 'movie_id': 9}];2004-09-02;0;15;[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch', 'movie_id': 9}];Released;;Sunday in August;False;7,738;21
False;/aDYSnJAK0BTVeE8osOy22Kz3SXY.jpg;{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/r8Ph5MYXL04Qzu4QBbq2KjqwtkQ.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'};11000000;[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}];http://www.starwars.com/films/star-wars-episode-iv-a-new-hope;11;tt0076759;en;Star Wars;Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.;88,078;/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg;[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US', 'movie_id': 11}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US', 'movie_id': 11}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 11}];1977-05-25;775398007;121;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 11}];Released;A long time ago in a galaxy far, far away...;Star Wars;False;8,208;18523
False;/yzqaKAhglTrkeOfuIXYYArf0WnA.jpg;{'id': 137697, 'name': 'Finding Nemo Collection', 'poster_path': '/xwggrEugjcJDuabIWvK2CpmK91z.jpg', 'backdrop_path': '/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg'};94000000;[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}];http://movies.disney.com/finding-nemo;12;tt0266543;en;Finding Nemo;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.;114,269;/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg;[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US', 'movie_id': 12}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 12}];2003-05-30;940335536;100;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 12}];Released;There are 3.7 trillion fish in the ocean. They're looking for one.;Finding Nemo;False;7,823;17584
False;/3h1JZGDhZ8nzxdgvkxha0qBqi05.jpg;;55000000;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];https://www.paramountmovies.com/movies/forrest-gump;13;tt0109830;en;Forrest Gump;A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.;64,063;/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg;[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US', 'movie_id': 13}, {'id': 21920, 'logo_path': None, 'name': 'The Steve Tisch Company', 'origin_country': '', 'movie_id': 13}, {'id': 412, 'logo_path': None, 'name': 'Wendy Finerman Productions', 'origin_country': '', 'movie_id': 13}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 13}];1994-06-23;677387716;142;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 13}];Released;The world will never be the same once you've seen it through the eyes of Forrest Gump.;Forrest Gump;False;8,481;24517
False;/DztBnZaqmla2sGUW9s8AyOmskT.jpg;;15000000;[{'id': 18, 'name': 'Drama'}];;14;tt0169547;en;American Beauty;Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.;31,055;/wby9315QzVKdW9BonAefg8jGTTb.jpg;[{'id': 2721, 'logo_path': None, 'name': 'Jinks/Cohen Company', 'origin_country': '', 'movie_id': 14}, {'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US', 'movie_id': 14}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 14}];1999-09-15;356296601;122;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 14}];Released;Look closer.;American Beauty;False;8,027;10935
False;/ruF3Lmd4A8MHbnEBE6lxPMbsHGL.jpg;;839727;[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}];;15;tt0033467;en;Citizen Kane;Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;22,31;/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg;[{'id': 11447, 'logo_path': None, 'name': 'Mercury Productions', 'origin_country': '', 'movie_id': 15}, {'id': 6, 'logo_path': '/n53F7K9scQWFXYbrCablqLKqJdp.png', 'name': 'RKO Radio Pictures', 'origin_country': 'US', 'movie_id': 15}];[{'iso_3166_1': 'US', 'name': 'United States of America', 'movie_id': 15}];1941-04-17;23218000;119;[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English', 'movie_id': 15}];Released;It's terrific!;Citizen Kane;False;8,02;4838
