english_name;iso_639_1;name;movie_id
Finnish;fi;suomi;2
English;en;English;3
English;en;English;5
English;en;English;6
English;en;English;8
Hindi;hi;हिन्दी;8
Japanese;ja;日本語;8
Russian;ru;Pусский;8
Spanish;es;Español;8
German;de;Deutsch;9
English;en;English;11
English;en;English;12
English;en;English;13
English;en;English;14
English;en;English;15
English;en;English;16
English;en;English;17
Welsh;cy;Cymraeg;17
English;en;English;18
Swedish;sv;svenska;18
German;de;Deutsch;18
No Language;xx;No Language;19
English;en;English;20
English;en;English;21
English;en;English;22
English;en;English;24
Japanese;ja;日本語;24
French;fr;Français;24
English;en;English;25
Spanish;es;Español;25
Arabic;ar;العربية;25
Latin;la;Latin;25
German;de;Deutsch;26
Arabic;ar;العربية;26
English;en;English;26
Italian;it;Italiano;26
Turkish;tr;Türkçe;26
Hebrew;he;עִבְרִית;26
English;en;English;27
Khmer;km;;28
English;en;English;28
French;fr;Français;28
Vietnamese;vi;Tiếng Việt;28
English;en;English;33
English;en;English;35
English;en;English;38
Spanish;es;Español;55
English;en;English;58
Turkish;tr;Türkçe;58
Greek;el;ελληνικά;58
Mandarin;zh;普通话;58
English;en;English;59
English;en;English;62
Russian;ru;Pусский;62
English;en;English;63
French;fr;Français;63
Spanish;es;Español;64
English;en;English;65
English;en;English;66
Spanish;es;Español;66
Arabic;ar;العربية;67
English;en;English;67
English;en;English;68
English;en;English;69
Russian;ru;Pусский;69
Irish;ga;Gaeilge;70
English;en;English;70
English;en;English;71
English;en;English;73
English;en;English;74
English;en;English;75
French;fr;Français;75
English;en;English;76
German;de;Deutsch;76
French;fr;Français;76
English;en;English;77
English;en;English;78
German;de;Deutsch;78
Cantonese;cn;广州话 / 廣州話;78
Japanese;ja;日本語;78
Hungarian;hu;Magyar;78
Mandarin;zh;普通话;79
English;en;English;80
French;fr;Français;80
Japanese;ja;日本語;81
English;en;English;82
Spanish;es;Español;82
English;en;English;83
English;en;English;85
Spanish;es;Español;85
German;de;Deutsch;85
Hebrew;he;עִבְרִית;85
Arabic;ar;العربية;85
Nepali;ne;;85
English;en;English;86
German;de;Deutsch;86
Mandarin;zh;普通话;87
English;en;English;87
Sinhalese;si;සිංහල;87
English;en;English;88
Arabic;ar;العربية;89
English;en;English;89
German;de;Deutsch;89
Greek;el;ελληνικά;89
English;en;English;90
French;fr;Français;91
No Language;xx;No Language;91
Spanish;es;Español;92
Hindi;hi;हिन्दी;92
English;en;English;92
Russian;ru;Pусский;92
English;en;English;93
No Language;xx;No Language;94
English;en;English;95
Russian;ru;Pусский;95
English;en;English;96
English;en;English;97
English;en;English;98
Catalan;ca;Català;99
Spanish;es;Español;99
English;en;English;100
English;en;English;101
French;fr;Français;101
Italian;it;Italiano;101
Danish;da;Dansk;102
English;en;English;103
Spanish;es;Español;103
German;de;Deutsch;104
English;en;English;104
Japanese;ja;日本語;104
English;en;English;105
English;en;English;106
Spanish;es;Español;106
English;en;English;107
Russian;ru;Pусский;107
French;fr;Français;108
Polish;pl;Polski;108
French;fr;Français;109
Hungarian;hu;Magyar;109
Polish;pl;Polski;109
French;fr;Français;110
English;en;English;111
Spanish;es;Español;111
Danish;da;Dansk;112
Italian;it;Italiano;112
Korean;ko;한국어/조선말;113
English;en;English;114
English;en;English;115
Hebrew;he;עִבְרִית;115
Spanish;es;Español;115
German;de;Deutsch;115
English;en;English;116
English;en;English;117
English;en;English;118
English;en;English;120
English;en;English;121
English;en;English;122
English;en;English;123
English;en;English;124
Polish;pl;Polski;124
Polish;pl;Polski;125
Polish;pl;Polski;126
Polish;pl;Polski;127
Japanese;ja;日本語;128
Japanese;ja;日本語;129
English;en;English;132
English;en;English;133
English;en;English;134
English;en;English;135
English;en;English;136
French;fr;Français;136
German;de;Deutsch;136
English;en;English;137
French;fr;Français;137
Italian;it;Italiano;137
English;en;English;138
Hungarian;hu;Magyar;138
Latin;la;Latin;138
Danish;da;Dansk;139
Latin;la;Latin;140
Spanish;es;Español;140
English;en;English;141
English;en;English;142
German;de;Deutsch;143
English;en;English;143
French;fr;Français;143
Latin;la;Latin;143
German;de;Deutsch;144
English;en;English;144
Spanish;es;Español;144
French;fr;Français;144
Hebrew;he;עִבְרִית;144
Japanese;ja;日本語;144
Turkish;tr;Türkçe;144
