account_cluster_code;sku;title;brand;ean;stock_availability_max;lead_time
14864435;pfc328190;COLOR PERFECT SPECIAL MIX  0/43 SC;Color Perfect;7891182017671;90;20
14864402;pfc328135;COLOR PERFECT PURE NATURALS 6/0 SC;Color Perfect;7891182017442;90;20
14864389;pfc328125;BLONDOR FREELIGHTS DESCOLORANTE 800G;Blondor;4084500380752;90;20
14864403;pfc328160;COLOR PERFECT DEEP BROWNS 66/71 SC;Color Perfect;7891182017268;90;20
14864392;pfc328149;COLOR PERFECT VIBRANT REDS 7/4 SC;Color Perfect;7891182017985;90;20
14864386;pfc328124;BLONDOR DESCOLORANTE SOFT CREME 200G;Blondor;4015600218423;90;20
14864405;pfc328132;BLONDOR FREELIGHTS DEVELOPER 9% 1L;Blondor;8005610586922;90;20
14864391;pfc328147;COLOR PERFECT RICH NATURALS 6/1 SC;Color Perfect;7891182018159;90;20
14864436;pfc328191;COLOR PERFECT VIBRANT REDS 77/44 SC;Color Perfect;7891182018005;90;20
14864420;pfc328172;COLOR PERFECT RICH NATURALS 8/2 SC;Color Perfect;7891182018258;90;20
14864433;pfc328188;COLOR PERFECT DEEP BROWNS 88/71 SC;Color Perfect;7891182017367;90;20
14864396;pfc328152;COLOR PERFECT PURE NATURALS 9/0 SC;Color Perfect;7891182018098;90;20
14864390;pfc328148;CP RICH NT 6/1 DRK BLD ASH CC 60ML;Color Perfect;4015600145927;90;20
14864430;pfc328184;COLOR PERFECT VIBRANT REDS  55/46 24U SC;Color Perfect;7891182017879;90;20
14864407;pfc328165;COLOR PERFECT RICH NATURALS 7/2 SC;Color Perfect;7891182018203;90;20
14864385;pfc328123;BLONDOR MULTI BLONDE 400G SC;Blondor;7891182019774;90;20
14864406;pfc328162;COLOR PERFECT RICH NATURALS 7/3 SC;Color Perfect;7891182018210;90;20
14864423;pfc328176;COLOR PERFECT DEEP BROWNS 4/77 SC;Color Perfect;7891182017206;90;20
14864411;pfc328141;COLOR PERFECT SPECIAL BLOND 12/11 24U SC;Color Perfect;7891182017527;90;20
14864409;pfc328139;CP SP BLD 12/89 PEARL CNDR CC 60ML;Color Perfect;4015600131562;90;20
14864419;pfc328144;COLOR PERFECT RICH NATURALS 8/1 SC;Color Perfect;7891182018241;90;20
14864429;pfc328140;COLOR PERFECT PURE NATURALS 4/0 SC;Color Perfect;7891182017404;90;20
14864393;pfc328151;CP PURE NT DARK BROWN CC 3/0 60ML;Color Perfect;4015600145729;90;20
14864414;pfc328167;COLOR PERFECT DEEP BROWNS 7/73 SC;Color Perfect;7891182017305;90;20
14864427;pfc328138;COLOR PERFECT SPECIAL BLOND 12/89 24U SC;Color Perfect;7891182017534;90;20
14864412;pfc328142;COLOR PERFECT DEEP BROWNS 6/7 SC;Color Perfect;7891182017237;90;20
14864425;pfc328137;COLOR PERFECT PURE NATURALS 5/0 SC;Color Perfect;7891182017411;90;20
14864428;pfc328181;COLOR PERFECT VIBRANT REDS 6/4 SC;Color Perfect;7891182017947;90;20
14864395;pfc328126;BLONDOR FREELIGHTS POWDER 800GR;Blondor;3614226777881;90;20
14864437;pfc328156;COLOR PERFECT VIBRANT REDS 8/4 SC;Color Perfect;7891182018012;90;20
14864431;pfc328146;CP DP BRS 7/7 MED BLD BR CC 60ML;Color Perfect;4015600146351;90;20
14864394;pfc328150;COLOR PERFECT PURE NATURALS 3/0 SC;Color Perfect;7891182017398;90;20
14864408;pfc328136;COLOR PERFECT PURE NATURALS 8/0 SC;Color Perfect;7891182018050;90;20
14864400;pfc328159;COLOR PERFECT DEEP BROWNS 7/77 SC;Color Perfect;7891182017312;90;20
14864421;pfc328174;COLOR PERFECT VIBRANT REDS 66/46 SC;Color Perfect;7891182017961;90;20
