id;logo_path;name;origin_country;movie_id
2303;;Villealfa Filmproductions;FI;2
2303;;Villealfa Filmproductions;FI;3
14;/m6AHu84oZQxvq7n1rsvMNJIAsMu.png;Miramax;US;5
59;/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png;A Band Apart;US;5
1644;;Largo Entertainment;US;6
182;;JVC;JP;6
19123;;inLoops;;8
1;/o86DbpburjxrqAzEDhXZcyE8pDb.png;Lucasfilm Ltd.;US;11
25;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;11
3;/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png;Pixar;US;12
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;13
21920;;The Steve Tisch Company;;13
412;;Wendy Finerman Productions;;13
2721;;Jinks/Cohen Company;;14
7;/vru2SssLX3FPhnKZGtYw00pVIS9.png;DreamWorks Pictures;US;14
11447;;Mercury Productions;;15
6;/n53F7K9scQWFXYbrCablqLKqJdp.png;RKO Radio Pictures;US;15
53671;;Lantia Cinema & Audiovisivi;;16
8;/78ilmDNTpdCfsakrsLqmAUkFTrO.png;Fine Line Features;;16
76;/nebkQYtQKhZyHJfh5v0oGpNbPzu.png;Zentropa Entertainments;DK;16
119;/1di2gITGUZr730AMuMKiCrP90Vl.png;DR;DK;16
157;/s537keIoi6wUOU8E9ztWaV2DY1H.png;SVT Drama;SE;16
201;/6UIpEURdjnmcJPwgTDRzVRuwADr.png;ARTE;FR;16
321;/pfp6VWF3tYfOHHVRHpYe2iGcYrf.png;Memfis Film;SE;16
591;/q5I5RDwMEiqoNmfaJgd2LraEOJY.png;France 3 Cinéma;FR;16
2996;;Angel films;;16
5975;/vvjgoKygWWYZvYyidT3RmOCq5If.png;YLE;FI;16
7330;;Blind Spot Pictures;FI;16
8659;/96hCWEsfmTZQsoUap0CcG21qaA.png;VPRO;NL;16
11239;;Liberator Productions;FR;16
14937;;Íslenska kvikmyndasamsteypan;IS;16
30268;;Pain Unlimited GmbH Filmproduktion;;16
53667;;Trust Film Svenska;;16
53668;;Cinematograph A/S;;16
53669;;What Else? B.V;;16
53670;;Filmek A/S;;16
6705;/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png;Film4 Productions;GB;16
104;/9aotxauvc9685tq9pTcRJszuT06.png;Canal+;FR;16
94;/huC7HqorvUThGIrENrbcHmQVUA0.png;ARTE France Cinéma;FR;16
2801;/bswb1PLLsKDUXMLgy42bZtCtIde.png;Film i Väst;SE;16
447;;TV 1000 Sverige;SE;16
46;/3xFdKHLXPGHEbrAkmsepGE8974Y.png;WDR;DE;16
47;/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png;Constantin Film;DE;16
47;/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png;Constantin Film;DE;17
248;;Impact Pictures;GB;17
2268;/wgDks2qYgwN6u1OkW1bBre0rf4F.png;Isle of Man Film;GB;17
2452;/6CLoZ59fLPG7UyxQtGTqRevjf58.png;UK Film Council;GB;17
9;/nda3dTUYdDrJ6rZqBpYvY865aDv.png;Gaumont;FR;18
5892;/AlfRSqTMw9RIHR2RIzy4pkcaXnY.png;Buena Vista International;US;18
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;18
12372;;UFA;DE;19
49;/xpf5iHdvvBtsH8jBMlgIJHAET0c.png;El Deseo;ES;20
77;;Milestone Productions;;20
13723;;Bruce Brown Films;;21
2;/wdrCwmRnLFJhEoH8GSfymY85KHT.png;Walt Disney Pictures;US;22
130;/c9dVHPOL3cqCr2593Ahk0nEKTEM.png;Jerry Bruckheimer Films;US;22
14;/m6AHu84oZQxvq7n1rsvMNJIAsMu.png;Miramax;US;24
59;/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png;A Band Apart;US;24
39121;;Super Cool ManChu;;24
14440;;Red Wagon Entertainment;US;25
1522;/8uaoEVgNxFH0R94O53gUiByahVr.png;Neal Street Productions;GB;25
15;/2GukAxjXAF3Qf4GosI6WzIgljL3.png;Lama Films;PS;26
16;/7690NQfOfnbvrY3vFgyMO2Pc8WS.png;United King Films;IL;26
163;;Revolution Films;GB;27
60;/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png;United Artists;US;28
70;/ueaENQkPcy8rlr5fGZVBXKOhlBh.png;American Zoetrope;US;28
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;33
171;;Malpaso Productions;US;33
18;/uqhagSwM7NAkQWVCQhKTyoqF8XH.png;Gracie Films;US;35
19;/2XbFiOpwgdG1P1wKLqfk2kvcTdE.png;Film Roman;US;35
11749;/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png;20th Century Fox Animation;US;35
29500;/vPjzW9arYveDG682pPGoMFZCt9j.png;The Curiosity Company;US;35
25;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;35
10146;/xnFIOeq5cKw09kCWqV7foWDe4AA.png;Focus Features;US;38
10039;/b8w4LldQolMKiLZw4FQJBcXSDGI.png;Anonymous Content;US;38
10059;;This Is That Productions;US;38
5084;;Altavista Films;MX;55
110056;;Zeta Film (MX);MX;55
